Date,Open,High,Low,Close ,Adj Close ,Volume
Jun 11 2024,882.14,882.14,852.23,865.82,861.70,4109100
Jun 10 2024,853.98,871.63,849.39,865.00,860.88,3444500
Jun 7 2024,837.76,856.81,837.01,849.99,845.94,2468800
Jun 6 2024,834.88,846.97,831.88,837.29,833.30,2109000
Jun 5 2024,830.49,838.45,817.62,831.76,827.80,2169000
Jun 4 2024,834.00,835.47,825.31,832.59,828.63,1748300
Jun 3 2024,823.83,838.28,818.50,831.26,827.30,2537200
May 31 2024,818.80,826.21,811.10,820.34,816.43,4472100
May 30 2024,812.79,819.99,806.11,815.06,811.18,1986300
May 29 2024,803.00,815.61,802.09,811.53,807.67,2380000
May 28 2024,809.00,809.00,788.25,807.86,804.01,2483500
May 24 2024,808.00,810.12,804.15,807.43,803.59,1774600
May 23 2024,810.00,820.61,802.16,808.45,804.60,3025800
May 22 2024,801.00,804.88,795.25,802.91,799.09,1767500
May 21 2024,792.46,816.61,791.39,803.17,799.35,4334500
May 20 2024,766.90,784.33,766.12,783.18,779.45,2188800
May 17 2024,772.89,774.87,767.10,770.00,766.33,1670300
May 16 2024,784.71,786.48,770.14,771.12,767.45,2299700
May 15 2024,764.15,787.66,763.10,787.02,783.27,3038300
May 14 2024,751.52,764.50,751.52,763.98,759.05,1956200
May 13 2024,763.50,763.55,750.53,757.70,752.81,1848900
May 10 2024,774.02,777.42,760.00,760.00,755.09,2082300
May 9 2024,777.00,784.00,769.20,771.55,766.57,2522100
May 8 2024,779.10,781.35,772.20,775.00,770.00,2089800
May 7 2024,768.90,779.09,762.11,777.77,772.75,2879400
May 6 2024,738.04,766.99,736.00,766.68,761.73,3398300
May 3 2024,743.00,745.00,730.34,734.97,730.23,4595100
May 2 2024,777.34,777.34,754.29,755.91,751.03,3205600
May 1 2024,774.76,782.61,768.25,776.75,771.74,2802100
Apr 30 2024,775.00,795.50,767.66,781.10,776.06,7437100
Apr 29 2024,735.75,740.58,729.61,737.20,732.44,2665600
Apr 26 2024,723.48,737.45,721.00,733.51,728.78,2009200
Apr 25 2024,725.00,727.99,718.30,724.87,720.19,2608800
Apr 24 2024,752.64,752.64,728.79,732.20,727.47,2133400
Apr 23 2024,741.20,746.16,731.44,745.69,740.88,2042000
