Date,Open,High,Low,Close,Adj_Close,Volume
Feb 4 2025,811.05,829.04,805.94,826.07,822.96,4299700
Feb 5 2025,835.15,846.9,831.06,842.18,839.01,4578900
Feb 6 2025,839.52,887.74,835.61,870.37,867.1,7138500
Feb 7 2025,876.53,889.36,869.62,878.31,875.01,4426100
Feb 10 2025,877.73,880.0,859.37,868.88,865.61,3065600
Feb 11 2025,867.03,874.19,860.5,865.0,861.75,1944200
Feb 12 2025,856.93,877.78,856.11,872.97,869.69,2533400
Feb 13 2025,877.07,883.5,867.8,871.86,868.58,2472900
Feb 14 2025,869.1,873.5,841.49,844.27,842.54,3222300
Feb 18 2025,856.42,862.73,851.36,857.2,855.45,4289400
Feb 19 2025,857.18,881.33,857.18,867.05,865.28,3205500
Feb 20 2025,866.84,880.32,864.0,873.12,871.33,2990300
Feb 21 2025,880.62,894.4,873.43,873.68,871.89,3940400
Feb 24 2025,879.29,893.11,870.02,881.4,879.6,3017100
Feb 25 2025,890.74,912.0,890.74,901.8,899.96,5111300
Feb 26 2025,898.37,922.43,896.6,915.01,913.14,3032800
Feb 27 2025,915.72,925.5,904.06,905.16,903.31,3085400
Feb 28 2025,901.84,921.22,892.61,920.63,918.75,4071100
Mar 3 2025,912.8,935.63,910.0,929.72,927.82,3979800
Mar 4 2025,922.24,929.16,902.79,911.06,909.2,3343500
Mar 5 2025,904.8,930.49,901.64,929.72,927.82,3109500
Mar 6 2025,920.42,931.38,898.28,912.76,910.89,3273100
Mar 7 2025,905.39,908.0,861.39,869.58,867.8,4818100
Mar 10 2025,853.91,863.19,825.78,829.76,828.06,5962900
Mar 11 2025,827.2,832.35,811.64,824.06,822.37,3796500
Mar 12 2025,814.95,834.65,813.26,821.86,820.18,3014800
Mar 13 2025,818.24,821.11,795.38,801.65,800.01,3566300
Mar 14 2025,803.11,815.21,800.0,813.48,811.82,3102300
Mar 17 2025,816.95,829.0,814.57,824.76,823.07,2546600
Mar 18 2025,833.42,836.29,812.62,822.51,820.83,2354900
Mar 19 2025,821.72,842.13,819.5,837.01,835.3,3790500
Mar 20 2025,839.03,854.39,832.46,842.57,840.85,4402700
Mar 21 2025,837.8,850.43,825.32,837.57,835.86,5963800
Mar 24 2025,845.32,866.87,837.76,864.9,863.13,3102400
Mar 25 2025,869.55,874.92,847.92,852.35,850.61,2670600
Mar 26 2025,845.69,851.41,826.4,826.76,825.07,2562100
Mar 27 2025,822.82,826.77,815.29,821.67,819.99,2128200
Mar 28 2025,820.0,829.78,817.43,822.51,820.83,2124700
Mar 31 2025,808.98,828.01,789.4,825.91,824.22,3737000
Apr 1 2025,818.6,820.66,797.0,805.23,803.58,2987700
Apr 2 2025,795.04,819.85,795.04,818.22,816.55,2683800
Apr 3 2025,810.51,818.79,787.06,789.09,787.48,2675100
Apr 4 2025,762.11,768.27,734.7,738.21,736.7,5299400
Apr 7 2025,697.93,748.0,677.09,723.73,722.25,6274400
